termine_preciso;termini_impropri
filtro olio motore;"filtro olio; filtro del motore; filtrino olio; filtro dell'olio; u filtru di l'ogghiu"
filtro aria;"filtro dell'aria; filtro a secco; spugna del filtro aria; u filtru di l'aria"
pompa iniezione;"pompa gasolio; pompa nafta; pompa dell'iniezione; pompa che spinge il gasolio; a pompa dâ nafta"
iniettore;"iniettori; spruzzatore; ugello iniezione; beccuccio dell'iniezione; u spruzzaturi"
guarnizione testata;"guarnizione della testa; guarnizione testa motore; guarnizione sopra il motore; a uarnizioni dâ testa"
testata cilindri;"testa del motore; testata motore; il pezzo sopra i cilindri; a testa du motori"
pistone motore;"pistone; pistone del motore; il pistoncino; u pistuni"
fascia elastica;"fascia del pistone; anello del pistone; segmento; anellino del pistone; l'aneddu du pistuni"
albero motore;"albero a gomiti; albero centrale motore; l'asse del motore; l'arvulu du motori"
radiatore acqua;"radiatore; radiatore del motore; il radiatore davanti; u ragiaturi"
radiatore olio;"radiatore dell'olio; scambiatore olio; il radiatorino dell'olio; u ragiaturi di l'ogghiu"
termostato;"termostato acqua; valvola della temperatura; la valvola che regola la temperatura; u dermustatu; valvola termostatica"
pompa acqua;"pompa dell'acqua; pompetta acqua; la pompa che fa girare l'acqua; a pompa di l'acqua"
ventola raffreddamento;"ventola; elica del radiatore; il ventilatore del motore; a ventula"
turbo compressore;"turbina; turbo; il turbo del motore; a turbina"
collettore di scarico;"collettore scarico; tubo dei gas di scarico; il tubo che porta fuori i fumi; u collettori di scaricu"
collettore di aspirazione;"collettore aspirazione; tubo dell'aria aspirazione; il tubo che porta aria al motore; u collettori d'aspirazioni"
marmitta;"scappamento; tubo di scarico grosso; il silenziatore; u silenziaturi"
tubo di scarico;"tubo scappamento; tubo dei fumi; il tubo di uscita dei gas; u tubu du scaricu"
alternatore;"dinamo; generatore; quello che ricarica la batteria; a dinamu"
motorino di avviamento;"motorino; starter; avviamento; quello che fa partire il motore; u muturinu"
tirante acceleratore;"filo acceleratore; filo dell'acceleratore; filo acceleratore manuale; filo dell'acceleratore manuale; cavo acceleratore; cavo dell'acceleratore; cavo gas; cavo comando acceleratore; cavo comando gas; tirante gas; tirante dell'acceleratore; cavo bowden; cavo comando farfalla"
batteria;"accumulatore; batteria motore; la batteria del trattore; a batteria"
cavo batteria;"cavo della batteria; filo della batteria; morsetto batteria; il filo attaccato alla batteria; u cavu dâ batteria"
disco frizione;"disco della frizione; ferodo della frizione; il disco della frizione consumato; u discu dâ frizioni"
spingidisco;"piatto della frizione; molla della frizione; il piatto che spinge il disco; u chiattu dâ frizioni; platò; meccanismo frizione"
scatola cambio;"cambio; scatola del cambio; il blocco del cambio; a scatula du cambiu"
leva cambio;"leva del cambio; pomello del cambio; il pomello per cambiare marcia; a leva du cambiu"
sincronizzatore cambio;"sincro del cambio; ingranaggio sincronizzato; il pezzo che fa entrare la marcia; u sincru"
albero di trasmissione;"cardano; albero cardanico centrale; il cardano centrale; u cardanu"
semiasse;"mezzo asse; albero della ruota; l'asse della ruota; u mezzu assi"
presa di potenza;"presa di forza; PTO; presa forza; l'attacco per gli attrezzi; a presa dâ forza; PDF"
albero presa potenza;"albero PTO; albero della presa di forza; l'albero che gira gli attrezzi; l'arvulu dâ presa di forza; albero PDF"
disco freno;"disco dei freni; il disco del freno; u discu du frenu"
tamburo freno;"tamburo dei freni; campana del freno; il tamburo del freno; u tammuru du frenu"
pompa freno;"pompa dei freni; pompa freno a pedale; la pompa che aziona i freni; a pompa du frenu"
pedale freno;"pedale del freno; pedaliera freni; il pedale per frenare; u pedali du frenu"
pompa sterzo;"pompa dello sterzo; pompa idroguida; la pompa che aiuta a girare il volante; a pompa du sterzu"
tirante sterzo;"tirante dello sterzo; barra dello sterzo; la barra dello sterzo; u tiranti du sterzu; braccetto sterzo"
testina sterzo;"testina dello sterzo; snodo dello sterzo; lo snodo del volante; a testina du sterzu; snodo a sfera; perno a sfera"
pompa idraulica;"pompa dell'olio; pompa idraulica del sollevatore; la pompa che fa alzare l'attrezzo; a pompa di l'ogghiu"
distributore idraulico;"distributore olio; valvola distributrice; la leva che comanda l'olio; u distributuri"
cilindro idraulico;"martinetto; pistone idraulico; il pistone che alza e abbassa; u martinettu"
tubo idraulico;"tubo dell'olio; tubo flessibile idraulico; il tubo che porta l'olio in pressione; u tubu di l'ogghiu"
valvola idraulica;"valvola dell'olio; la valvola che regola l'olio; a vavula di l'ogghiu"
filtro olio idraulico;"filtro dell'olio idraulico; filtrino idraulico; il filtro dell'olio del sollevatore; u filtru di l'ogghiu idraulicu"
leva sollevamento;"leva del sollevatore; leva idraulica; la leva per alzare l'attrezzo; a leva pi susiri l'attrezzu"
terzo punto;"barra del terzo punto; terzo punto attacco; il braccio dietro per attaccare l'attrezzo; u terzu puntu"
mozzo ruota;"mozzo della ruota; centro ruota; il centro della ruota; u mozzu dâ rota"
cuscinetto ruota;"cuscinetto della ruota; il cuscinetto che fa girare la ruota; u cuscinettu dâ rota"
cerchio ruota;"cerchione; cerchio della ruota; il cerchio di ferro della ruota; u circhiu dâ rota"
pneumatico;"gomma; gomma del trattore; la ruota di gomma; a gumma"
assale anteriore;"ponte anteriore; assale davanti; l'asse davanti; l'assali di davanti"
snodo sterzo;"snodo dello sterzo; giunto dello sterzo; il giunto dello sterzo; u snodu du sterzu"
faro anteriore;"faro; luce anteriore; fanale davanti; la luce davanti; u faru davanti"
faro posteriore;"faro dietro; luce posteriore; fanale posteriore; la luce dietro; u faru d'arreri"
fusibile;"fusibile elettrico; il fusibile che salta; u fusibili"
rele;"relè elettrico; interruttore automatico; il relè che scatta; u relè"
sensore di livello;"sensore livello olio; spia livello; il sensore che controlla il livello; u sensuri du livellu"
sensore di temperatura;"sensore temperatura acqua; bulbo temperatura; il sensore della temperatura dell'acqua; u sensuri dâ timperatura"
sensore di pressione;"sensore pressione olio; bulbo pressione olio; il bulbo della spia dell'olio; u sensuri dâ pressioni"
sedile guida;"sedile del trattore; poltrona guida; la sedia del trattore; a seggia du trattori"
cintura di sicurezza;"cinture; cintura; la cintura di sicurezza; a cintura"
specchietto retrovisore;"specchio; specchietto; lo specchio per vedere dietro; u specchiu"
tergicristallo;"tergi; spazzola tergicristallo; il tergicristallo del vetro; a spazzula du vitru"
vetro cabina;"vetro della cabina; finestrino cabina; il vetro del trattore; u vitru dâ cabina"
parafango anteriore;"parafango davanti; il parafango di davanti; u parafangu davanti"
parafango posteriore;"parafango dietro; il parafango di dietro; u parafangu d'arreri"
maniglia porta cabina;"maniglia della porta; maniglia sportello cabina; la maniglia per aprire la cabina; a manigghia dâ porta"
filtro aria cabina;"filtro dell'aria della cabina; filtro polline cabina; il filtro dell'aria che respiri in cabina; u filtru di l'aria dâ cabina"
guarnizione coppa olio;"guarnizione della coppa; guarnizione del basamento; la guarnizione sotto il motore; a uarnizioni dâ coppa"
compressore aria condizionata;"compressore clima; compressore AC; il compressore del climatizzatore; u cumpressuri di l'aria cundizionata"
paraolio;"anello paraolio; guarnizione di tenuta; l'anello che tiene l'olio dentro; u paraogghiu; corteco; anello di tenuta"
anello di tenuta;"anello di gomma; guarnizione OR; l'anellino di gomma; l'aneddu di gumma"
