termine_1;termine_2;occorrenze;esempio_revision_id_position
bullone m;vite m;4;1158765/6
flangia;flangia per cerchio;3;1203525/1.2
bullone m;vite;3;1843275/3
rondella;rosetta;2;1153215/7
dado m;vite m;2;1203525/1.5
vite;vite m;2;5073255/9
prigioniero;prigioniero m;2;5194555/7
cerchio;cerchio dw;2;1934055/3
camera d'aria;camera d'aria x;2;1934055/7
leva;leva sterzo;2;1671745/6
anello elastico;anello tenuta;2;1842805/36
anello tenuta speciale;guarnizione;1;2216355/2
anello spallamento;rondella di spall.;1;1077135/6
non fornibile;sedile;1;2201395/6
rondella;vite m;1;1203525/1.3
dado m;rondella;1;1203525/1.4
dado m;rosetta elastica;1;1203525/1.4
rondella;rosetta elastica;1;1203525/1.4
grano m;vite m;1;1203425/20
estremita';estremita' m;1;2293845/27
terzo punto;terzo punto meccanico;1;2537915/7
gancio terzo punto;tirante;1;2537915/7.2
catalizzatore doc;marmitta;1;4841835/2
fascetta;staffetta;1;5146375/43
tirante;vite;1;5089125/5
settore;settore dentato;1;1382735/6
boccola;bussola;1;2159305/15
convogliatore;copertura;1;1672115/21
anello di frizione;disco frizione;1;1849305/16
anello di frizione;ribattino;1;1849305/16
disco frizione;ribattino;1;1849305/16
albero presa potenza;ingranaggio;1;2721155/2
colonnetta;colonnetta m;1;1829575/17
cerchio;cerchio w;1;1934055/10
cerchio;cerchio x w;1;1934055/10
cerchio w;cerchio x w;1;1934055/10
fusibile;semi valvola;1;1934055/14
flangia per cerchio w;flangia per cerchio x w;1;1842775/14
anello tenuta;paraolio;1;1842805/4
albero;albero sterzo;1;1842805/34
anello spallamento;rondella piana;1;1842805/38
fascia frontale;frontale per cofano;1;2089745/6
cronotachigirometro km/h;cronotachigirometro mph;1;1776265/21
portatarga;supporto;1;2524905/31
cavo;cavo elettrico;1;2159295/36
presa;spia;1;2159295/56
guarnizione;vetro fanale;1;1842945/18
rullino;rullo;1;1843005/35
anello spallamento;distanziale;1;2190045/18
colonna sterzo;supporto;1;4718335/1
cuscinetto a rulli;cuscinetto speciale;1;4396855/7
cuscinetto a rulli;cuscinetto a sfere;1;5257185/11
spina;spina elastica;1;5257185/36
pompa alimentazione;pompa alimentazione carburante;1;3382565/4
boccola;boccola speciale;1;394995/8
